"\colhead{Name}","\colhead{R.A.}","\colhead{Dec.}","\colhead{Type}","\colhead{Notes}","\colhead{V$_{\rm LSR}$}","\colhead{D$_{25}$}","\colhead{Inc}","\colhead{PA}","\colhead{Dist}"
"\colhead{}","\colhead{(J2000)}","\colhead{(J2000)}","\colhead{}","\colhead{}","\colhead{(\kmpers)}","\colhead{($\arcsec$)}","\colhead{($^\circ$)}","\colhead{($^\circ$)}","\colhead{(Mpc)}"
"ARP220","$15^{\rm h}34^{\rm m}57\fs3$","$+23^\circ30\arcmin09\farcs7$","Sm","","5247","66","30","338","78.0"
"IC0480","$07^{\rm h}55^{\rm m}23\fs1$","$+26^\circ44\arcmin34\farcs0$","Sbc","","4595","105","77","168","66.3"
"IC0540","$09^{\rm h}30^{\rm m}10\fs2$","$+07^\circ54\arcmin09\farcs3$","Sb","","2022","64","68","350","29.9"
"IC0944","$13^{\rm h}51^{\rm m}30\fs9$","$+14^\circ05\arcmin31\farcs2$","Sa","","6907","92","75","106","100.8"
"IC1151","$15^{\rm h}58^{\rm m}32\fs5$","$+17^\circ26\arcmin29\farcs4$","SBc","B","2192","134","68","204","30.8"
"IC1199","$16^{\rm h}10^{\rm m}34\fs3$","$+10^\circ02\arcmin24\farcs3$","Sbc","","4686","71","64","339","68.3"
"IC1683","$01^{\rm h}22^{\rm m}38\fs8$","$+34^\circ26\arcmin13\farcs1$","Sb","","4820","79","55","16","69.7"
"IC2247","$08^{\rm h}15^{\rm m}59\fs0$","$+23^\circ11\arcmin58\farcs5$","Sbc","","4254","109","78","328","62.0"
"IC2487","$09^{\rm h}30^{\rm m}09\fs2$","$+20^\circ05\arcmin27\farcs2$","Sb","","4310","110","78","163","62.3"
"IC4566","$15^{\rm h}36^{\rm m}42\fs1$","$+43^\circ32\arcmin21\farcs8$","SABb","B","5537","81","54","145","80.7"
"IC5376","$00^{\rm h}01^{\rm m}19\fs7$","$+34^\circ31\arcmin32\farcs5$","Sab","","4979","98","72","3","72.9"
"NGC0444","$01^{\rm h}15^{\rm m}49\fs6$","$+31^\circ04\arcmin48\farcs7$","Sc","","4776","94","75","159","70.1"
"NGC0447","$01^{\rm h}15^{\rm m}37\fs5$","$+33^\circ04\arcmin03\farcs3$","S0-a","B","5552","133","29","227","79.7"
"NGC0477","$01^{\rm h}21^{\rm m}20\fs3$","$+40^\circ29\arcmin17\farcs5$","Sc","B","5796","93","60","140","85.4"
"NGC0496","$01^{\rm h}23^{\rm m}11\fs5$","$+33^\circ31\arcmin44\farcs0$","Sbc","","5958","53","57","36","87.5"
"NGC0523","$01^{\rm h}25^{\rm m}20\fs7$","$+34^\circ01\arcmin29\farcs0$","Sbc","M","4760","151","72","277","67.9"
"NGC0528","$01^{\rm h}25^{\rm m}33\fs5$","$+33^\circ40\arcmin17\farcs4$","S0","","4638","106","61","58","68.8"
"NGC0551","$01^{\rm h}27^{\rm m}40\fs6$","$+37^\circ10\arcmin58\farcs4$","SBbc","B","5141","89","64","315","74.5"
"NGC1167","$03^{\rm h}01^{\rm m}42\fs3$","$+35^\circ12\arcmin20\farcs5$","S0","","4797","109","40","88","70.9"
"NGC2253","$06^{\rm h}43^{\rm m}41\fs8$","$+65^\circ12\arcmin22\farcs3$","Sc","","3545","86","47","300","51.2"
"NGC2347","$07^{\rm h}16^{\rm m}03\fs9$","$+64^\circ42\arcmin38\farcs8$","Sb","R","4387","99","50","189","63.7"
"NGC2410","$07^{\rm h}35^{\rm m}02\fs2$","$+32^\circ49\arcmin19\farcs5$","Sb","B","4642","130","72","217","67.5"
"NGC2480","$07^{\rm h}57^{\rm m}10\fs4$","$+23^\circ46\arcmin47\farcs2$","SBd","BM","2287","79","55","343","33.1"
"NGC2486","$07^{\rm h}57^{\rm m}56\fs4$","$+25^\circ09\arcmin38\farcs8$","Sa","","4569","89","56","93","67.5"
"NGC2487","$07^{\rm h}58^{\rm m}20\fs4$","$+25^\circ08\arcmin57\farcs1$","Sb","BR","4795","104","31","118","70.5"
"NGC2623","$08^{\rm h}38^{\rm m}24\fs0$","$+25^\circ45\arcmin14\farcs7$","Sb","M","5454","45","46","255","80.2"
"NGC2639","$08^{\rm h}43^{\rm m}38\fs0$","$+50^\circ12\arcmin19\farcs4$","Sa","R","3168","97","50","314","45.7"
"NGC2730","$09^{\rm h}02^{\rm m}15\fs7$","$+16^\circ50\arcmin17\farcs8$","Sd","B","3727","87","28","261","54.8"
"NGC2880","$09^{\rm h}29^{\rm m}34\fs5$","$+62^\circ29\arcmin26\farcs1$","E-S0","B","1530","140","50","323","22.7"
"NGC2906","$09^{\rm h}32^{\rm m}06\fs2$","$+08^\circ26\arcmin29\farcs7$","Sc","","2133","81","56","262","37.7"
"NGC2916","$09^{\rm h}34^{\rm m}57\fs5$","$+21^\circ42\arcmin18\farcs7$","Sb","","3620","144","50","200","53.2"
"NGC2918","$09^{\rm h}35^{\rm m}44\fs0$","$+31^\circ42\arcmin19\farcs8$","E","","6569","93","46","75","96.6"
"NGC3303","$10^{\rm h}37^{\rm m}00\fs1$","$+18^\circ08\arcmin08\farcs5$","Sa","M","6040","66","60","160","89.8"
"NGC3381","$10^{\rm h}48^{\rm m}24\fs8$","$+34^\circ42\arcmin41\farcs0$","SBb","B","1625","121","31","333","23.4"
"NGC3687","$11^{\rm h}28^{\rm m}00\fs4$","$+29^\circ30\arcmin39\farcs5$","Sbc","BR","2497","84","20","326","36.0"
"NGC3811","$11^{\rm h}41^{\rm m}16\fs8$","$+47^\circ41\arcmin26\farcs8$","SBc","BR","3073","122","40","352","44.3"
"NGC3815","$11^{\rm h}41^{\rm m}39\fs1$","$+24^\circ48\arcmin01\farcs4$","Sab","","3686","86","60","68","53.6"
"NGC3994","$11^{\rm h}57^{\rm m}36\fs7$","$+32^\circ16\arcmin38\farcs2$","Sc","RM","3097","51","60","188","44.7"
"NGC4047","$12^{\rm h}02^{\rm m}50\fs6$","$+48^\circ38\arcmin10\farcs3$","Sb","","3419","92","42","104","49.1"
"NGC4149","$12^{\rm h}10^{\rm m}32\fs8$","$+58^\circ18\arcmin14\farcs7$","SABc","B","3050","82","66","85","44.1"
"NGC4185","$12^{\rm h}13^{\rm m}22\fs0$","$+28^\circ30\arcmin39\farcs5$","SBbc","BR","3874","111","48","344","55.9"
"NGC4210","$12^{\rm h}15^{\rm m}15\fs8$","$+65^\circ59\arcmin07\farcs4$","Sb","BR","2714","116","41","278","38.8"
"NGC4211NED02","$12^{\rm h}15^{\rm m}37\fs4$","$+28^\circ10\arcmin10\farcs5$","S0-a","M","6605","62","30","25","96.9"
"NGC4470","$12^{\rm h}29^{\rm m}37\fs6$","$+07^\circ49\arcmin26\farcs0$","Sa","","2338","77","48","350","33.4"
"NGC4644","$12^{\rm h}42^{\rm m}42\fs8$","$+55^\circ08\arcmin43\farcs7$","Sb","BM","4915","91","73","57","71.6"
"NGC4676A","$12^{\rm h}46^{\rm m}10\fs2$","$+30^\circ43\arcmin55\farcs5$","S0-a","BM","6541","130","50","185","96.6"
"NGC4711","$12^{\rm h}48^{\rm m}45\fs7$","$+35^\circ19\arcmin57\farcs7$","SBb","B","4044","72","58","215","58.8"
"NGC4961","$13^{\rm h}05^{\rm m}47\fs7$","$+27^\circ44\arcmin02\farcs0$","SBc","B","2521","67","47","100","36.6"
"NGC5000","$13^{\rm h}09^{\rm m}47\fs5$","$+28^\circ54\arcmin24\farcs4$","Sbc","BRM","5557","77","20","31","80.8"
"NGC5016","$13^{\rm h}12^{\rm m}06\fs8$","$+24^\circ05\arcmin41\farcs0$","SABb","B","2581","94","40","57","36.9"
"NGC5056","$13^{\rm h}16^{\rm m}12\fs3$","$+30^\circ57\arcmin00\farcs7$","Sc","","5550","97","61","178","81.1"
"NGC5205","$13^{\rm h}30^{\rm m}03\fs5$","$+62^\circ30\arcmin41\farcs3$","Sbc","","1762","95","50","169","25.1"
"NGC5218","$13^{\rm h}32^{\rm m}10\fs3$","$+62^\circ46\arcmin04\farcs0$","SBb","B","2888","110","30","236","41.7"
"NGC5394","$13^{\rm h}58^{\rm m}33\fs6$","$+37^\circ27\arcmin12\farcs5$","SBb","BM","3431","158","70","189","49.5"
"NGC5406","$14^{\rm h}00^{\rm m}20\fs1$","$+38^\circ54\arcmin55\farcs4$","Sbc","B","5350","102","45","111","77.8"
"NGC5480","$14^{\rm h}06^{\rm m}21\fs5$","$+50^\circ43\arcmin30\farcs3$","Sc","","1882","100","42","178","27.0"
"NGC5485","$14^{\rm h}07^{\rm m}11\fs2$","$+55^\circ00\arcmin05\farcs7$","S0","","1893","151","47","74","26.9"
"NGC5520","$14^{\rm h}12^{\rm m}22\fs6$","$+50^\circ20\arcmin54\farcs6$","Sb","","1870","96","59","245","26.7"
"NGC5614","$14^{\rm h}24^{\rm m}07\fs5$","$+34^\circ51\arcmin32\farcs0$","Sab","RM","3859","146","36","270","55.7"
"NGC5633","$14^{\rm h}27^{\rm m}28\fs4$","$+46^\circ08\arcmin47\farcs0$","Sb","R","2319","65","42","17","33.4"
"NGC5657","$14^{\rm h}30^{\rm m}43\fs5$","$+29^\circ10\arcmin50\farcs5$","Sb","BR","3860","105","68","349","56.3"
"NGC5682","$14^{\rm h}34^{\rm m}45\fs1$","$+48^\circ40\arcmin10\farcs1$","Sb","B","2242","39","76","311","32.6"
"NGC5732","$14^{\rm h}40^{\rm m}39\fs0$","$+38^\circ38\arcmin15\farcs7$","Sbc","","3723","74","58","43","54.0"
"NGC5784","$14^{\rm h}54^{\rm m}16\fs5$","$+42^\circ33\arcmin28\farcs0$","S0","","5427","89","45","255","79.4"
"NGC5876","$15^{\rm h}09^{\rm m}31\fs6$","$+54^\circ30\arcmin23\farcs4$","SBab","BR","3240","148","66","51","46.9"
"NGC5908","$15^{\rm h}16^{\rm m}43\fs3$","$+55^\circ24\arcmin33\farcs8$","Sb","","3294","202","77","153","47.1"
"NGC5930","$15^{\rm h}26^{\rm m}07\fs7$","$+41^\circ40\arcmin33\farcs9$","SABa","BM","2637","111","45","155","37.2"
"NGC5934","$15^{\rm h}28^{\rm m}12\fs7$","$+42^\circ55\arcmin47\farcs6$","Sa","M","5566","37","55","5","82.7"
"NGC5947","$15^{\rm h}30^{\rm m}36\fs7$","$+42^\circ43\arcmin01\farcs9$","SBbc","B","5898","70","32","249","86.1"
"NGC5953","$15^{\rm h}34^{\rm m}32\fs5$","$+15^\circ11\arcmin37\farcs6$","S0-a","M","1988","88","26","48","28.4"
"NGC5980","$15^{\rm h}41^{\rm m}30\fs4$","$+15^\circ47\arcmin15\farcs3$","Sbc","","4060","98","66","15","59.4"
"NGC6004","$15^{\rm h}50^{\rm m}22\fs5$","$+18^\circ56\arcmin21\farcs1$","Sc","B","3818","114","37","272","55.2"
"NGC6021","$15^{\rm h}57^{\rm m}30\fs6$","$+15^\circ57\arcmin21\farcs5$","E","","4673","93","43","157","69.1"
"NGC6027","$15^{\rm h}59^{\rm m}12\fs4$","$+20^\circ45\arcmin47\farcs8$","S0-a","BM","4338","137","31","231","62.9"
"NGC6060","$16^{\rm h}05^{\rm m}52\fs0$","$+21^\circ29\arcmin05\farcs6$","SABc","BR","4398","114","64","102","63.2"
"NGC6063","$16^{\rm h}07^{\rm m}13\fs0$","$+07^\circ58\arcmin43\farcs9$","Sc","","2807","98","56","332","40.7"
"NGC6081","$16^{\rm h}12^{\rm m}56\fs8$","$+09^\circ52\arcmin01\farcs3$","S0","","4978","93","66","308","73.5"
"NGC6125","$16^{\rm h}19^{\rm m}11\fs6$","$+57^\circ59\arcmin02\farcs7$","E","","4522","83","17","5","68.0"
"NGC6146","$16^{\rm h}25^{\rm m}10\fs1$","$+40^\circ53\arcmin33\farcs3$","E","","8693","100","41","78","128.7"
"NGC6155","$16^{\rm h}26^{\rm m}08\fs1$","$+48^\circ22\arcmin00\farcs4$","Sc","","2418","80","45","130","34.6"
"NGC6168","$16^{\rm h}31^{\rm m}21\fs0$","$+20^\circ11\arcmin07\farcs8$","Sd","","2540","99","77","111","36.1"
"NGC6186","$16^{\rm h}34^{\rm m}25\fs6$","$+21^\circ32\arcmin27\farcs2$","Sa","B","2940","94","71","70","42.4"
"NGC6301","$17^{\rm h}08^{\rm m}32\fs6$","$+42^\circ20\arcmin20\farcs3$","Sc","R","8222","106","53","288","121.4"
"NGC6310","$17^{\rm h}07^{\rm m}57\fs3$","$+60^\circ59\arcmin24\farcs3$","Sb","","3459","101","74","70","48.7"
"NGC6314","$17^{\rm h}12^{\rm m}38\fs8$","$+23^\circ16\arcmin12\farcs7$","Sa","","6551","82","58","356","95.9"
"NGC6361","$17^{\rm h}18^{\rm m}41\fs0$","$+60^\circ36\arcmin29\farcs1$","Sb","","3789","123","75","47","54.9"
"NGC6394","$17^{\rm h}30^{\rm m}21\fs6$","$+59^\circ38\arcmin23\farcs6$","SBb","B","8444","69","60","232","124.3"
"NGC6478","$17^{\rm h}48^{\rm m}38\fs1$","$+51^\circ09\arcmin25\farcs9$","Sc","","6797","87","73","29","97.4"
"NGC7738","$23^{\rm h}44^{\rm m}02\fs0$","$+00^\circ31\arcmin00\farcs1$","Sb","B","6682","71","66","235","97.8"
"NGC7819","$00^{\rm h}04^{\rm m}24\fs4$","$+31^\circ28\arcmin19\farcs2$","Sb","B","4918","86","54","270","71.6"
"UGC00809","$01^{\rm h}15^{\rm m}51\fs8$","$+33^\circ48\arcmin38\farcs5$","Sc","","4171","71","79","19","60.4"
"UGC03253","$05^{\rm h}19^{\rm m}41\fs6$","$+84^\circ03\arcmin08\farcs0$","Sb","BR","4040","82","58","268","59.5"
"UGC03539","$06^{\rm h}48^{\rm m}53\fs9$","$+66^\circ15\arcmin40\farcs6$","Sbc","B","3278","110","72","303","47.1"
"UGC03969","$07^{\rm h}41^{\rm m}14\fs3$","$+27^\circ36\arcmin50\farcs7$","Sc","","8037","76","70","134","118.4"
"UGC03973","$07^{\rm h}42^{\rm m}32\fs5$","$+49^\circ48\arcmin35\farcs2$","Sb","B","6594","80","39","144","95.9"
"UGC04029","$07^{\rm h}48^{\rm m}19\fs0$","$+34^\circ19\arcmin55\farcs9$","Sbc","B","4389","108","78","58","63.5"
"UGC04132","$07^{\rm h}59^{\rm m}13\fs0$","$+32^\circ54\arcmin53\farcs6$","Sbc","","5151","74","72","213","75.4"
"UGC04280","$08^{\rm h}14^{\rm m}33\fs3$","$+54^\circ47\arcmin58\farcs2$","Sa","","3500","79","72","184","50.9"
"UGC04461","$08^{\rm h}33^{\rm m}22\fs6$","$+52^\circ31\arcmin56\farcs2$","Sbc","","4941","83","70","223","72.3"
"UGC05108","$09^{\rm h}35^{\rm m}26\fs3$","$+29^\circ48\arcmin45\farcs3$","SBab","B","8015","66","66","136","118.4"
"UGC05111","$09^{\rm h}36^{\rm m}52\fs4$","$+66^\circ47\arcmin18\farcs2$","Sbc","","6660","90","73","118","98.2"
"UGC05244","$09^{\rm h}48^{\rm m}48\fs1$","$+64^\circ10\arcmin04\farcs8$","Sc","","2974","90","78","33","43.7"
"UGC05359","$09^{\rm h}58^{\rm m}51\fs6$","$+19^\circ12\arcmin53\farcs0$","SABb","B","8344","93","72","94","123.2"
"UGC05498NED01","$10^{\rm h}12^{\rm m}03\fs6$","$+23^\circ05\arcmin07\farcs4$","Sa","M","6250","94","81","62","91.8"
"UGC05598","$10^{\rm h}22^{\rm m}14\fs1$","$+20^\circ35\arcmin21\farcs8$","Sbc","","5591","76","75","216","81.1"
"UGC06312","$11^{\rm h}18^{\rm m}00\fs0$","$+07^\circ50\arcmin40\farcs7$","Sa","B","6266","71","69","225","90.0"
"UGC07012","$12^{\rm h}02^{\rm m}03\fs1$","$+29^\circ50\arcmin53\farcs1$","SBc","B","3052","65","60","184","44.3"
"UGC08107","$12^{\rm h}59^{\rm m}39\fs8$","$+53^\circ20\arcmin28\farcs6$","IB","B","8201","137","71","228","121.6"
"UGC08250","$13^{\rm h}10^{\rm m}20\fs2$","$+32^\circ28\arcmin57\farcs3$","Sc","","5169","79","76","12","76.0"
"UGC08267","$13^{\rm h}11^{\rm m}11\fs4$","$+43^\circ43\arcmin35\farcs4$","Sb","","7159","67","75","223","103.7"
"UGC09067","$14^{\rm h}10^{\rm m}45\fs4$","$+15^\circ12\arcmin33\farcs1$","Sab","","7740","49","62","15","114.5"
"UGC09476","$14^{\rm h}41^{\rm m}31\fs9$","$+44^\circ30\arcmin45\farcs7$","SABc","B","3243","90","48","307","46.6"
"UGC09537","$14^{\rm h}48^{\rm m}26\fs6$","$+34^\circ59\arcmin52\farcs7$","Sb","","8662","134","72","136","130.1"
"UGC09542","$14^{\rm h}49^{\rm m}01\fs2$","$+42^\circ27\arcmin50\farcs3$","Sc","","5413","86","73","214","79.7"
"UGC09665","$15^{\rm h}01^{\rm m}32\fs5$","$+48^\circ19\arcmin11\farcs2$","Sbc","","2561","102","74","138","36.5"
"UGC09759","$15^{\rm h}10^{\rm m}40\fs8$","$+55^\circ21\arcmin01\farcs4$","Sb","","3394","80","67","50","49.2"
"UGC09873","$15^{\rm h}29^{\rm m}50\fs6$","$+42^\circ37\arcmin44\farcs3$","Sc","","5575","80","75","129","91.5"
"UGC09892","$15^{\rm h}32^{\rm m}52\fs0$","$+41^\circ11\arcmin29\farcs0$","Sb","","5591","78","72","101","82.2"
"UGC09919","$15^{\rm h}35^{\rm m}39\fs4$","$+12^\circ36\arcmin22\farcs6$","Sc","","3160","89","78","349","47.1"
"UGC10043","$15^{\rm h}48^{\rm m}41\fs4$","$+21^\circ52\arcmin10\farcs1$","Sbc","","2154","132","90","328","31.0"
"UGC10123","$15^{\rm h}59^{\rm m}02\fs7$","$+51^\circ18\arcmin16\farcs5$","Sab","","3738","69","70","235","53.8"
"UGC10205","$16^{\rm h}06^{\rm m}40\fs3$","$+30^\circ05\arcmin56\farcs4$","Sa","","6491","87","52","129","94.9"
"UGC10331","$16^{\rm h}17^{\rm m}21\fs1$","$+59^\circ19\arcmin12\farcs3$","Sb","","4415","87","76","141","64.8"
"UGC10380","$16^{\rm h}25^{\rm m}49\fs7$","$+16^\circ34\arcmin33\farcs9$","Sb","","8624","93","78","288","110.8"
"UGC10384","$16^{\rm h}26^{\rm m}46\fs6$","$+11^\circ34\arcmin48\farcs7$","Sab","","4929","70","70","278","71.8"
"UGC10710","$17^{\rm h}06^{\rm m}52\fs5$","$+43^\circ07\arcmin19\farcs5$","Sb","","8228","100","70","330","121.7"