Galaxy,logd25,PA,INC,vmaxg,session,mask (blockpref),mask (datapref),tdep (blockpref),tdep (datapref),logSFR,logMst,dSFMS,MS?,Type,e_tdep (blockpref),e_tdep (datapref),Mmol (blockpref),e_Mmol (blockpref),Mmol (datapref),e_Mmol (datapref),SFR_block,SFR_33Myr,SFR_12Myr,Distance (Mpc),error_add_m2mean (%),error_add_m2med (%),error_add_m1mean (%),error_add_m1med (%),Mmol_T24 (datapref),eMmol_T24 (datapref),tdep_T24 (datapref),etdep_T24 (datapref),Mmol_B13_Z (datapref),eMmol_B13_Z (datapref),tdep_B13_Z (datapref),etdep_B13_Z (datapref),Mmol_SL24 (datapref),eMmol_SL24 (datapref),tdep_SL24 (datapref),etdep_SL24 (datapref),L_CO (datapref),L_CO (blockpref)
NGC6150B,0.96,142.9,78.8,150,51+66,block,Havexpand,2.65E+00,2.88E+00,0.499941042,11.02865477,-0.093269325,TRUE,MS,3.28E-01,3.53E-01,1.00E+10,1.24E+09,1.09E+10,1.34E+09,3.79E+00,6.03E-01,9.67E-01,1.37E+02,7.90E+01,8.32E+01,7.90E+01,8.32E+01,5.04E+09,6.57E+08,1.33E+00,1.73E-01,9.17E+09,1.19E+09,2.42E+00,3.13E-01,9.44E+09,1.24E+09,2.49E+00,3.26E-01,2.50E+09,2.30E+09
NGC6154,1.15,149.6,47.9,59.3,51+66,block,Havexpand,4.72E+00,2.50E+00,0.114212898,11.06026084,-0.50459838,FALSE,GV,1.45E+00,7.22E-01,5.25E+09,1.62E+09,2.79E+09,8.03E+08,1.11E+00,2.52E-01,4.49E-01,8.52E+01,4.50E+01,3.47E+01,9.28E+00,7.19E-01,2.38E+09,6.32E+08,2.14E+00,5.68E-01,2.53E+09,7.46E+08,2.28E+00,6.70E-01,2.61E+09,7.69E+08,2.35E+00,6.91E-01,6.41E+08,1.21E+09
NGC6338,1.24,16,66,150,69,block,Havexpand,4.11E+01,1.81E+01,0.250918674,11.55969819,-0.77243686,FALSE,GV,1.06E+01,3.85E+00,1.45E+10,3.75E+09,6.36E+09,1.36E+09,3.50E-01,5.59E-01,1.17E+00,1.18E+02,5.01E+01,4.45E+01,8.65E+00,1.73E+01,4.81E+09,1.02E+09,1.37E+01,2.90E+00,5.80E+09,1.22E+09,1.65E+01,3.46E+00,6.95E+09,1.47E+09,1.97E+01,4.18E+00,1.46E+09,3.33E+09
NGC6497,1.16,110.3,67.1,150,52+65,block,Havexpand,8.74E+00,4.79E+00,0.247468532,11.04514604,-0.359099763,TRUE,MS,1.51E+00,9.93E-01,1.09E+10,1.89E+09,5.99E+09,1.24E+09,1.25E+00,9.51E-01,1.61E+00,8.62E+01,1.06E+02,7.95E+01,4.72E+01,1.81E+01,2.83E+09,6.27E+08,2.27E+00,5.01E-01,5.50E+09,1.14E+09,4.40E+00,9.16E-01,5.41E+09,1.13E+09,4.33E+00,9.03E-01,1.38E+09,2.51E+09
UGC01659,1.14,38,69.4,196,1+55+58,block,Havexpand,3.33E+00,1.74E+00,0.493457943,10.9506645,-0.036580303,TRUE,MS,6.62E-01,3.60E-01,1.02E+10,2.02E+09,5.32E+09,1.10E+09,3.05E+00,1.46E+00,2.66E+00,1.18E+02,5.86E+01,5.49E+01,2.62E+01,3.48E+01,2.99E+09,7.53E+08,9.81E-01,2.47E-01,5.33E+09,1.11E+09,1.75E+00,3.66E-01,5.91E+09,1.25E+09,1.94E+00,4.11E-01,1.22E+09,2.33E+09
UGC01938,1.07,155,81.9,186.1,56+58,block,Havexpand,1.24E+00,1.21E+00,0.411917605,10.6882434,0.094440449,TRUE,MS,3.28E-01,3.49E-01,3.54E+09,9.40E+08,3.46E+09,1.00E+09,2.87E+00,1.30E+00,2.35E+00,9.00E+01,5.91E+01,5.98E+01,5.27E+01,5.98E+01,2.86E+09,7.90E+08,9.98E-01,2.76E-01,3.45E+09,1.01E+09,1.21E+00,3.52E-01,4.19E+09,1.23E+09,1.46E+00,4.30E-01,7.96E+08,8.14E+08
UGC02134,1.21,106,71.8,150,4+34+58,block,Havexpand,4.85E+00,4.06E+00,0.390978323,10.88176897,-0.083254543,TRUE,MS,6.48E-01,5.11E-01,1.07E+10,1.43E+09,8.98E+09,1.13E+09,2.21E+00,2.14E+00,2.51E+00,6.49E+01,7.70E+01,7.08E+01,1.38E+00,2.66E+01,3.93E+09,5.17E+08,1.78E+00,2.34E-01,8.14E+09,1.02E+09,3.69E+00,4.61E-01,8.75E+09,1.09E+09,3.96E+00,4.94E-01,2.06E+09,2.46E+09
UGC02222,1.12,103,67.6,150,10,block,Havexpand,1.16E+03,3.30E+02,-1.434219756,11.04203159,-2.038265346,FALSE,RG,2.88E+02,6.04E+01,4.21E+09,1.05E+09,1.20E+09,2.20E+08,3.64E-03,1.78E+00,2.33E+00,7.01E+01,1.17E+02,8.57E+01,6.03E+01,1.86E+01,7.25E+08,1.59E+08,1.99E+02,4.38E+01,1.26E+09,2.27E+08,3.46E+02,6.24E+01,1.45E+09,2.63E+08,3.99E+02,7.23E+01,2.76E+08,9.69E+08
UGC02239,1.12,14,86.2,150,1+33,block,Havexpand,2.36E+00,3.14E+00,-0.043900295,10.42580383,-0.148801397,TRUE,MS,3.92E-01,4.14E-01,2.04E+09,3.39E+08,2.71E+09,3.58E+08,8.65E-01,7.73E-01,6.49E-01,6.80E+01,3.97E+01,3.76E+01,1.31E+01,1.78E+01,3.10E+09,4.89E+08,3.59E+00,5.66E-01,2.54E+09,3.44E+08,2.94E+00,3.98E-01,2.97E+09,3.98E+08,3.43E+00,4.60E-01,6.24E+08,4.70E+08
UGC03960,1.1,46.7,72.4,150,41,block,Havexpand,4.63E+02,3.46E+01,-2.566163915,9.901781049,-2.246606565,FALSE,RG,1.33E+02,1.02E+01,9.21E+08,2.65E+08,6.90E+07,2.04E+07,1.99E-03,1.34E-01,1.11E-01,3.14E+01,1.58E+02,1.25E+02,1.43E+02,1.25E+02,1.47E+08,4.27E+07,7.39E+01,2.14E+01,6.68E+07,1.86E+07,3.35E+01,9.34E+00,7.77E+07,2.16E+07,3.90E+01,1.09E+01,1.59E+07,2.12E+08
UGC04136,1.2,141.5,89.9,296,2+22+33+40,block,Havexpand,6.90E+00,1.29E+01,0.122093748,11.12487307,-0.549053437,FALSE,GV,1.50E+00,2.68E+00,7.04E+08,1.53E+08,1.31E+09,2.73E+08,1.02E-01,4.17E-01,6.00E-01,9.53E+01,9.52E+01,9.65E+01,9.52E+01,9.65E+01,3.22E+09,6.31E+08,3.15E+01,6.19E+00,1.22E+09,2.54E+08,1.20E+01,2.49E+00,1.40E+09,2.89E+08,1.37E+01,2.84E+00,3.02E+08,1.62E+08
UGC04245,1.15,107.7,78.5,163,8+32+35+37,block,Havexpand,2.72E+00,2.08E+00,0.308031423,10.6571013,0.015779373,TRUE,MS,4.46E-01,3.76E-01,4.83E+09,7.93E+08,3.70E+09,6.68E+08,1.78E+00,7.89E-01,1.17E+00,7.36E+01,5.37E+01,5.39E+01,4.57E+01,5.32E+01,2.17E+09,3.95E+08,1.22E+00,2.22E-01,3.49E+09,6.12E+08,1.96E+00,3.44E-01,3.73E+09,6.59E+08,2.10E+00,3.71E-01,8.51E+08,1.11E+09
UGC04262,1.3,151.7,40.6,188,2+34+37,block,Havexpand,1.92E+01,7.61E+00,0.195532185,10.84159724,-0.246161584,TRUE,MS,3.65E+00,1.56E+00,2.68E+10,5.10E+09,1.06E+10,2.18E+09,1.40E+00,1.32E+00,2.39E+00,8.11E+01,1.27E+02,8.22E+01,7.19E+01,3.85E+01,3.87E+09,8.85E+08,2.77E+00,6.34E-01,1.03E+10,2.08E+09,7.38E+00,1.49E+00,1.13E+10,2.32E+09,8.12E+00,1.66E+00,2.44E+09,6.15E+09
UGC04659,1.15,108.5,80,79,3+66,block,Havexpand,1.36E+01,2.59E+00,-1.369635495,8.925189218,-0.259038761,TRUE,MS,3.74E+00,5.15E-01,2.55E+08,7.00E+07,4.86E+07,9.64E+06,1.87E-02,6.77E-02,1.35E-01,2.42E+01,9.61E+01,7.52E+01,5.15E+01,4.33E+01,5.97E+07,1.74E+07,3.19E+00,9.29E-01,5.19E+07,9.80E+06,2.77E+00,5.24E-01,7.27E+07,1.37E+07,3.89E+00,7.31E-01,1.12E+07,5.85E+07
UGC04730,0.99,89.3,67.5,100,33+34,block,Havexpand,6.04E-02,3.68E-02,0.406968952,10.44529964,0.286276245,TRUE,MS,2.01E-02,1.50E-02,2.50E+08,8.33E+07,1.53E+08,6.22E+07,4.15E+00,1.84E+00,2.37E+00,4.66E+01,7.55E+01,8.96E+01,7.09E+01,8.96E+01,1.94E+08,6.72E+07,4.68E-02,1.62E-02,1.42E+08,5.54E+07,3.43E-02,1.33E-02,1.89E+08,7.48E+07,4.56E-02,1.80E-02,3.51E+07,5.76E+07
UGC05326,0.97,146.1,16.9,60,7+66,block,Havexpand,3.81E+00,3.53E-01,-1.046575243,8.791340552,0.17243891,TRUE,MS,1.31E+00,9.47E-02,2.25E+08,7.76E+07,2.08E+07,5.60E+06,5.91E-02,1.18E-01,2.00E-01,1.85E+01,1.61E+02,1.23E+02,1.52E+02,1.23E+02,2.13E+07,5.83E+06,3.60E-01,9.86E-02,2.60E+07,6.89E+06,4.39E-01,1.16E-01,4.09E+07,1.08E+07,6.92E-01,1.83E-01,4.79E+06,5.18E+07
UGC05396,1.17,155.9,69.9,152.6,51+59,block,Havexpand,7.56E+00,9.60E-01,-0.068862579,10.53248935,-0.260178954,TRUE,MS,2.17E+00,3.89E-01,5.16E+09,1.48E+09,6.56E+08,2.65E+08,6.83E-01,4.03E-01,5.31E-01,7.67E+01,6.07E+01,5.26E+01,2.34E+01,4.04E+00,5.40E+08,1.74E+08,7.91E-01,2.55E-01,6.89E+08,2.79E+08,1.01E+00,4.08E-01,7.94E+08,3.22E+08,1.16E+00,4.71E-01,1.51E+08,1.19E+09
UGC08004,1.04,5.6,68.7,133.9,15+34+47,block,Havexpand,4.44E+00,2.21E+00,-0.00625244,10.30460929,-0.012985961,TRUE,MS,9.03E-01,6.86E-01,3.40E+09,6.90E+08,1.69E+09,5.24E+08,7.64E-01,2.37E+00,4.31E+00,8.83E+01,6.03E+01,6.40E+01,3.31E+01,4.62E+01,1.05E+09,2.96E+08,1.38E+00,3.87E-01,1.83E+09,5.62E+08,2.40E+00,7.35E-01,2.28E+09,6.99E+08,2.98E+00,9.15E-01,3.89E+08,7.81E+08
UGC08231,1.17,74.9,74.4,96.8,24+51+59,block,Havexpand,2.97E+00,1.32E+00,-0.385220719,9.442787911,0.306121073,TRUE,MS,7.00E-01,2.35E-01,7.78E+08,1.84E+08,3.47E+08,6.17E+07,2.62E-01,3.06E-01,7.06E-01,3.48E+01,1.15E+02,8.34E+01,6.56E+01,1.66E+01,2.79E+08,6.24E+07,1.07E+00,2.38E-01,4.37E+08,7.74E+07,1.67E+00,2.95E-01,7.07E+08,1.26E+08,2.70E+00,4.82E-01,7.98E+07,1.79E+08
UGC08234,1.21,142.1,80.2,150,44+45,block,Havexpand,1.10E+03,3.24E+02,-1.092313838,11.22916961,-1.847941225,FALSE,RG,2.93E+02,8.31E+01,7.89E+09,2.10E+09,2.31E+09,5.94E+08,7.15E-03,9.16E-01,1.40E+00,1.17E+02,6.51E+01,6.60E+01,1.51E+01,1.16E+01,3.72E+09,9.67E+08,5.20E+02,1.35E+02,2.11E+09,5.31E+08,2.95E+02,7.43E+01,2.30E+09,5.81E+08,3.21E+02,8.13E+01,5.32E+08,1.81E+09
UGC08322,1.05,36.1,73,238.1,41+54,block,Havexpand,2.32E+01,9.90E+00,-0.020108492,11.18927442,-0.74342077,FALSE,GV,5.40E+00,2.62E+00,7.98E+09,1.86E+09,3.41E+09,9.00E+08,3.44E-01,1.06E+00,1.51E+00,1.09E+02,5.52E+01,4.65E+01,3.92E+01,3.86E+01,2.59E+09,6.04E+08,7.52E+00,1.75E+00,3.22E+09,8.51E+08,9.36E+00,2.47E+00,3.61E+09,9.41E+08,1.05E+01,2.74E+00,7.83E+08,1.83E+09
UGC08733,1.29,6.3,62.2,80.9,17+18+68,block,Havexpand,9.78E+00,3.08E+00,-0.627403758,9.402206127,0.096809279,TRUE,MS,2.21E+00,5.06E-01,1.53E+09,3.46E+08,4.83E+08,7.93E+07,1.57E-01,2.56E-01,4.38E-01,3.28E+01,1.41E+02,8.41E+01,1.22E+02,8.11E+01,2.55E+08,4.99E+07,1.63E+00,3.18E-01,5.12E+08,8.39E+07,3.27E+00,5.35E-01,6.79E+08,1.11E+08,4.33E+00,7.08E-01,1.11E+08,3.53E+08
UGC08781,1.2,161.8,57.1,238.6,44+46+68,block,Havexpand,1.40E+01,6.48E+00,0.229723688,11.13706468,-0.451298702,TRUE,MS,3.51E+00,1.56E+00,1.97E+10,4.96E+09,9.16E+09,2.21E+09,1.41E+00,5.18E-01,8.80E-01,1.08E+02,9.16E+01,8.45E+01,4.49E+00,2.96E+00,4.73E+09,1.15E+09,3.34E+00,8.16E-01,9.00E+09,2.13E+09,6.36E+00,1.51E+00,1.01E+10,2.39E+09,7.14E+00,1.69E+00,2.11E+09,4.54E+09
UGC09598,1.21,122.1,71.2,177,12+13+43,block,Havexpand,9.33E+00,3.01E+00,-0.015142682,10.62457053,-0.281044812,TRUE,MS,2.03E+00,8.72E-01,8.49E+09,1.85E+09,2.74E+09,7.93E+08,9.10E-01,7.67E-01,1.08E+00,7.99E+01,6.59E+01,4.69E+01,3.41E+01,6.88E+00,1.89E+09,4.82E+08,2.08E+00,5.30E-01,2.67E+09,7.81E+08,2.93E+00,8.58E-01,2.89E+09,8.37E+08,3.17E+00,9.20E-01,6.29E+08,1.95E+09
UGC09629,1.18,153.5,76.6,100,13+42,block,Havexpand,3.44E+01,1.15E+01,-0.571760829,11.15655837,-1.268573107,FALSE,RG,9.09E+00,2.54E+00,3.87E+09,1.02E+09,1.29E+09,2.86E+08,1.12E-01,1.02E+00,1.53E+00,1.12E+02,5.30E+01,4.42E+01,2.64E+01,1.81E+01,1.80E+09,4.51E+08,1.60E+01,4.02E+00,1.24E+09,2.73E+08,1.10E+01,2.43E+00,1.39E+09,3.08E+08,1.24E+01,2.75E+00,2.96E+08,8.89E+08
UGC10097,1.15,123.9,48.2,150,23+49+67,block,Havexpand,4.39E+01,6.90E+00,0.182382512,11.28728741,-0.62032029,FALSE,GV,1.15E+01,1.77E+00,1.17E+10,3.07E+09,1.85E+09,4.73E+08,2.67E-01,3.10E-01,5.30E-01,8.52E+01,1.32E+02,1.07E+02,1.09E+02,1.07E+02,1.48E+09,4.11E+08,5.52E+00,1.54E+00,1.26E+09,3.35E+08,4.71E+00,1.25E+00,1.59E+09,4.26E+08,5.94E+00,1.59E+00,4.24E+08,2.70E+09
UGC10905,1.18,171.7,68.4,150,23+24+54,block,Havexpand,1.64E+02,3.26E+01,0.307082406,11.34655764,-0.54362928,FALSE,GV,4.85E+01,8.58E+00,8.25E+09,2.44E+09,1.64E+09,4.31E+08,5.03E-02,4.79E-01,5.15E-01,1.11E+02,5.79E+01,4.34E+01,1.92E+01,5.31E+00,1.33E+09,3.58E+08,2.65E+01,7.12E+00,1.49E+09,3.78E+08,2.96E+01,7.53E+00,1.72E+09,4.44E+08,3.43E+01,8.83E+00,3.77E+08,1.90E+09
CGCG163-062,0.83,132,12,13.9,15+47+54,block,Havexpand,1.43E+00,1.33E+00,-0.637147886,9.912470683,-0.32624914,TRUE,MS,6.86E-01,4.41E-01,3.75E+08,1.80E+08,3.48E+08,1.15E+08,2.62E-01,8.07E-02,8.22E-02,6.13E+01,4.99E+01,4.55E+01,4.99E+01,4.55E+01,2.84E+08,8.32E+07,1.08E+00,3.18E-01,3.70E+08,1.23E+08,1.41E+00,4.69E-01,4.39E+08,1.46E+08,1.67E+00,5.56E-01,7.99E+07,8.61E+07
CGCG536-030,0.87,30.5,51.3,200,10,block,Havexpand,7.59E+00,1.12E+01,0.081417514,9.992906578,0.327163186,TRUE,MS,9.66E-01,1.10E+00,1.66E+10,2.11E+09,2.44E+10,2.42E+09,2.19E+00,3.82E+00,6.57E+00,8.51E+01,1.49E+02,1.15E+02,8.03E+01,6.61E+01,4.00E+09,4.60E+08,1.83E+00,2.10E-01,2.61E+10,2.58E+09,1.19E+01,1.18E+00,3.16E+10,3.12E+09,1.45E+01,1.43E+00,5.61E+09,3.82E+09
IC0674,1.14,121,85.3,241.9,34+53,block,Havexpand,1.89E+01,3.40E+01,0.030291098,11.08441936,-0.608088585,FALSE,GV,4.04E+00,7.54E+00,3.54E+09,7.58E+08,6.38E+09,1.42E+09,1.88E-01,2.01E-01,2.79E-01,1.08E+02,5.31E+01,4.43E+01,3.84E+01,3.40E+01,7.53E+09,1.74E+09,4.01E+01,9.28E+00,6.20E+09,1.38E+09,3.30E+01,7.34E+00,6.95E+09,1.55E+09,3.70E+01,8.27E+00,1.47E+09,8.14E+08
IC3598,1.15,139.1,76,225.8,17+33+62+65,block,Havexpand,2.99E+01,3.71E+00,-0.126573663,10.99868261,-0.695506578,FALSE,GV,8.38E+00,1.53E+00,4.80E+09,1.35E+09,5.96E+08,2.45E+08,1.60E-01,7.44E-01,1.15E+00,1.10E+02,5.51E+01,5.94E+01,1.93E+01,3.84E+01,7.46E+08,2.47E+08,4.65E+00,1.54E+00,5.00E+08,2.15E+08,3.11E+00,1.34E+00,5.47E+08,2.36E+08,3.41E+00,1.47E+00,1.37E+08,1.10E+09
Mrk1418,0.82,15.8,35.6,47.1,41+67,block,block,1.89E-01,1.89E-01,-1.297766322,8.522941403,0.138651141,TRUE,MS,1.06E-01,1.06E-01,6.65E+06,3.72E+06,6.65E+06,3.72E+06,3.52E-02,3.46E-02,7.39E-02,9.52E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.38E+06,1.47E+06,9.60E-02,4.17E-02,8.21E+06,4.57E+06,2.33E-01,1.30E-01,1.29E+07,7.10E+06,3.66E-01,2.02E-01,1.53E+06,1.53E+06
